SkillName,Price,bids,is_urgent,is_fulltime,is_bold,is_private
طراحی بروشور,500000,28,0,0,0,0
طراحی کاتالوگ,500000,28,0,0,0,0
HTML,4000000,12,1,0,1,0
پی اچ پی (PHP),4000000,12,1,0,1,0
وردپرس (WordPress),4000000,12,1,0,1,0
سی اس اس (CSS),4000000,12,1,0,1,0
طراحی تبلیغات,50000000,38,1,0,1,0
فوتوشاپ (Photoshop),50000000,38,1,0,1,0
کارگردان هنری,50000000,38,1,0,1,0
طراحی نمایشگاه تجاری,50000000,38,1,0,1,0
تولید ویدئو,50000000,38,1,0,1,0
ترجمه,350000,56,0,0,0,0
ترجمه فارسی به انگلیسی,350000,56,0,0,0,0
نوشتن کتاب,400000,14,0,0,0,0
کتاب الکترونیک,400000,14,0,0,0,0
فوتوشاپ (Photoshop),400000,14,0,0,0,0
برنامه نویسی و ساخت اپلیکیشن اندروید (Android),500000,5,1,0,1,0
Mobile Phone,500000,5,1,0,1,0
برنامه نویسی موبایل,500000,5,1,0,1,0
برنامه نویسی و ساخت اپلیکیشن اندروید (Android),15000000,10,0,0,0,0
Mobile Phone,15000000,10,0,0,0,0
برنامه نویسی موبایل,15000000,10,0,0,0,0
جنگو (Django),3000000,6,1,0,0,0
Linux,3000000,6,1,0,0,0
مای اسکیوال (MySQL),3000000,6,1,0,0,0
Elasticsearch,3000000,6,1,0,0,0
DevOps,3000000,6,1,0,0,0
طراحی آیکون,3000000,48,1,0,1,0
تصویرسازی,3000000,48,1,0,1,0
ایلوستریتور (Adobe Illustrator),3000000,48,1,0,1,0
فوتوشاپ (Photoshop),3000000,48,1,0,1,0
HTML,1500000,27,0,0,0,0
وردپرس (WordPress),1500000,27,0,0,0,0
سی اس اس (CSS),1500000,27,0,0,0,0
ترجمه,1500000,64,1,0,0,0
ترجمه انگلیسی به فارسی,1500000,64,1,0,0,0
سئو (SEO),3000000,12,0,0,0,0
وردپرس (WordPress),3000000,12,0,0,0,0
وبلاگ,3000000,12,0,0,0,0
طراحی گرافیک,3000000,12,0,0,0,0
بازاریابی اینترنتی,3000000,12,0,0,0,0
برنامه نویسی,1500000,7,0,0,0,0
سی شارپ (C#),500000,14,0,0,0,0
دسک تاپ ویندوز,500000,14,0,0,0,0
برنامه نویسی تحت ویندوز,500000,14,0,0,0,0
مقاله نویسی,50000000,50,0,0,0,0
ترجمه,50000000,50,0,0,0,0
ترجمه انگلیسی به فارسی,50000000,50,0,0,0,0
نویسنده,50000000,50,0,0,0,0
طراحی آیکون,500000,40,0,0,1,0
تصویرسازی,500000,40,0,0,1,0
ایلوستریتور (Adobe Illustrator),500000,40,0,0,1,0
فوتوشاپ (Photoshop),500000,40,0,0,1,0
مای اسکیوال (MySQL),15000000,10,0,0,0,0
پی اچ پی (PHP),15000000,10,0,0,0,0
سی اس اس (CSS),15000000,10,0,0,0,0
برنامه نویسی تحت وب,15000000,10,0,0,0,0
سی شارپ (C#),3500000,4,0,0,0,0
یونیتی (Unity),3500000,4,0,0,0,0
تایپ,1000000,129,0,0,0,0
رونویسی,1000000,129,0,0,0,0
هویت شرکت,3000000,46,1,0,1,0
تصویرسازی,3000000,46,1,0,1,0
ایلوستریتور (Adobe Illustrator),3000000,46,1,0,1,0
طراحی لوگو,3000000,46,1,0,1,0
فوتوشاپ (Photoshop),3000000,46,1,0,1,0
تولید محتوا,6000000,36,0,0,0,0
طراحی پست و استوری اینستاگرام,6000000,36,0,0,0,0
طراحی گرافیک,50000000,72,0,0,0,0
طراحی روی تی شرت,50000000,72,0,0,0,0
پی اچ پی (PHP),6000000,10,1,0,0,0
پایتون (Python),6000000,10,1,0,0,0
طراحی سربرگ,500000,28,0,0,0,0
برنامه نویسی تحت وب,15000000,8,0,1,0,0
برنامه نویسی موبایل,15000000,8,0,1,0,0
طراحی آیکون,2000000,85,1,0,1,0
تصویرسازی,2000000,85,1,0,1,0
ایلوستریتور (Adobe Illustrator),2000000,85,1,0,1,0
فوتوشاپ (Photoshop),2000000,85,1,0,1,0
خدمات ویدئویی,200000,16,0,0,0,0
پی اچ پی (PHP),230000,10,0,0,0,0
وردپرس (WordPress),230000,10,0,0,0,0
Web Services,230000,10,0,0,0,0
طراحی کارت ویزیت,1500000,67,1,0,1,0
طراحی لوگو,1500000,67,1,0,1,0
انیمیشن,15000000,33,0,0,0,0
طراحی لوگو,15000000,33,0,0,0,0
موشن گرافیک,15000000,33,0,0,0,0
دسک تاپ ویندوز,3000000,16,0,0,0,0
برنامه نویسی تحت ویندوز,3000000,16,0,0,0,0
طراحی آیکون,3000000,80,1,0,1,0
تصویرسازی,3000000,80,1,0,1,0
ایلوستریتور (Adobe Illustrator),3000000,80,1,0,1,0
فوتوشاپ (Photoshop),3000000,80,1,0,1,0
طراحی ست اداری,3000000,80,1,0,1,0
خدمات ویدئویی,1500000,29,0,0,0,0
سئو (SEO),1500000,25,0,0,0,0
HTML,1500000,26,0,0,0,0
وردپرس (WordPress),1500000,26,0,0,0,0
سی اس اس (CSS),1500000,26,0,0,0,0
پی اچ پی (PHP),15000000,30,0,1,0,0
وردپرس (WordPress),15000000,30,0,1,0,0
راه اندازی سرور لینوکس,15000000,30,0,1,0,0
Database Administration,15000000,30,0,1,0,0
DevOps,15000000,30,0,1,0,0
HTML,500000,11,0,0,0,0
پی اچ پی (PHP),500000,11,0,0,0,0
وردپرس (WordPress),500000,11,0,0,0,0
برنامه نویسی تحت وب,500000,11,0,0,0,0
تحقیقات بازار,1500000,3,0,0,0,0
تجزیه و تحلیل کسب و کار,1500000,3,0,0,0,0
طرح کسب و کار,1500000,3,0,0,0,0
طراحی تبلیغات,1500000,21,1,0,1,0
طراحی بنر,1500000,21,1,0,1,0
Flash,1500000,21,1,0,1,0
فوتوشاپ (Photoshop),1500000,21,1,0,1,0
برنامه نویسی و ساخت اپلیکیشن اندروید (Android),120000,3,0,0,0,0
Mobile Phone,120000,3,0,0,0,0
برنامه نویسی موبایل,120000,3,0,0,0,0
ادوبی این دیزاین (InDesign),2500000,22,0,0,0,0
فوتوشاپ (Photoshop),2500000,22,0,0,0,0
رزومه کاری,6000000,16,0,0,0,0
ترجمه تخصصی متن,6000000,16,0,0,0,0
ASP.Net,3000000,7,0,0,0,0
Cocoa,3000000,7,0,0,0,0
اکسل (Excel),3000000,7,0,0,0,0
برنامه نویسی تحت ویندوز,3000000,7,0,0,0,0
مای اسکیوال (MySQL),3000000,70,0,0,0,0
پی اچ پی (PHP),3000000,70,0,0,0,0
سی اس اس (CSS),3000000,70,0,0,0,0
برنامه نویسی تحت وب,3000000,70,0,0,0,0
فروشگاه,350000,17,0,0,0,0
طراحی بسته بندی,350000,17,0,0,0,0
طراحی گرافیک,350000,17,0,0,0,0
برنامه ریزی تبلیغ و خرید,350000,17,0,0,0,0
تبلیغات,350000,17,0,0,0,0
طراحی آیکون,200000,47,0,0,0,0
تصویرسازی,200000,47,0,0,0,0
ایلوستریتور (Adobe Illustrator),200000,47,0,0,0,0
فوتوشاپ (Photoshop),200000,47,0,0,0,0
طراحی تبلیغات,350000,43,0,0,0,0
طراحی کاتالوگ,350000,43,0,0,0,0
طراحی آیکون,350000,43,0,0,0,0
تصویرسازی,350000,43,0,0,0,0
طراحی لوگو,350000,43,0,0,0,0
طراحی آیکون,500000,25,1,0,0,0
تصویرسازی,500000,25,1,0,0,0
ایلوستریتور (Adobe Illustrator),500000,25,1,0,0,0
فوتوشاپ (Photoshop),500000,25,1,0,0,0
